ecmf prod rt 2018011500 51 046
0192 pf 01 1.791 -0.191 1.801 4
0192 pf 02 1.313 -0.230 1.333 4
0192 pf 03 1.199 0.672 1.374 5
0192 pf 04 1.304 0.284 1.335 5
0192 pf 05 0.799 0.194 0.822 5
0192 pf 06 1.554 0.161 1.562 5
0192 pf 07 1.053 0.278 1.089 5
0192 pf 08 1.464 0.405 1.518 5
0192 pf 09 1.225 -0.064 1.227 4
0192 pf 10 1.462 0.265 1.486 5
0192 pf 11 1.319 0.578 1.440 5
0192 pf 12 1.568 0.229 1.585 5
0192 pf 13 1.377 0.521 1.472 5
0192 pf 14 1.250 -0.324 1.292 4
0192 pf 15 1.368 0.048 1.368 5
0192 pf 16 1.625 -0.017 1.625 4
0192 pf 17 1.622 -0.079 1.624 4
0192 pf 18 1.013 -0.055 1.014 4
0192 pf 19 1.318 0.318 1.355 5
0192 pf 20 1.668 -0.153 1.675 4
0192 pf 21 1.221 0.268 1.250 5
0192 pf 22 1.644 -0.112 1.648 4
0192 pf 23 1.813 0.385 1.854 5
0192 pf 24 1.873 0.395 1.914 5
0192 pf 25 1.652 -0.576 1.750 4
0192 pf 26 1.425 0.354 1.468 5
0192 pf 27 1.156 -0.119 1.162 4
0192 pf 28 1.611 0.683 1.750 5
0192 pf 29 1.626 0.179 1.636 5
0192 pf 30 1.102 0.691 1.301 5
0192 pf 31 1.544 0.210 1.558 5
0192 pf 32 1.425 -0.077 1.427 4
0192 pf 33 1.215 0.446 1.294 5
0192 pf 34 1.262 0.063 1.263 5
0192 pf 35 1.588 0.102 1.591 5
0192 pf 36 1.423 0.313 1.457 5
0192 pf 37 1.799 0.181 1.808 5
0192 pf 38 1.577 0.438 1.637 5
0192 pf 39 1.761 0.408 1.808 5
0192 pf 40 1.539 0.699 1.690 5
0192 pf 41 1.160 -0.011 1.160 4
0192 pf 42 1.454 0.383 1.504 5
0192 pf 43 1.529 0.168 1.539 5
0192 pf 44 0.854 0.558 1.020 5
0192 pf 45 1.379 -0.664 1.530 4
0192 pf 46 1.441 0.190 1.454 5
0192 pf 47 1.353 0.519 1.449 5
0192 pf 48 1.470 0.058 1.471 5
0192 pf 49 0.952 -0.079 0.955 4
0192 pf 50 1.525 0.748 1.698 5
0216 em 00 1.203 0.454 1.286 5
0216 cf 00 1.061 0.285 1.098 5
0216 pf 01 1.621 0.348 1.658 5
0216 pf 02 1.021 0.113 1.027 5
0216 pf 03 0.785 0.747 1.083 5
0216 pf 04 0.979 0.234 1.007 5
0216 pf 05 0.490 0.339 0.596 5
0216 pf 06 1.384 0.525 1.480 5
0216 pf 07 0.700 0.204 0.729 5
0216 pf 08 1.260 0.586 1.390 5
0216 pf 09 0.804 0.355 0.879 5
0216 pf 10 1.475 0.587 1.588 5
0216 pf 11 1.312 1.029 1.668 5
0216 pf 12 1.264 0.203 1.280 5
0216 pf 13 0.918 0.983 1.345 6
0216 pf 14 1.372 -0.248 1.394 4
0216 pf 15 1.287 0.237 1.308 5
0216 pf 16 1.372 0.526 1.470 5
0216 pf 17 1.552 0.083 1.555 5
0216 pf 18 0.810 0.311 0.867 5
0216 pf 19 1.098 0.661 1.282 5
0216 pf 20 1.476 0.445 1.542 5
0216 pf 21 1.025 0.088 1.029 5
0216 pf 22 1.557 0.226 1.573 5
0216 pf 23 1.597 0.467 1.664 5
0216 pf 24 1.216 0.661 1.384 5
0216 pf 25 1.369 -0.337 1.410 4
0216 pf 26 1.278 0.904 1.565 5
0216 pf 27 0.837 -0.094 0.842 4
0216 pf 28 1.441 0.947 1.724 5
0216 pf 29 1.537 0.352 1.577 5
0216 pf 30 0.587 0.957 1.123 6
0216 pf 31 1.375 0.626 1.510 5
0216 pf 32 1.483 0.192 1.495 5
0216 pf 33 0.849 0.640 1.063 5
0216 pf 34 1.400 0.223 1.417 5
0216 pf 35 1.444 0.568 1.552 5
0216 pf 36 1.339 0.531 1.441 5
0216 pf 37 1.379 0.785 1.587 5
0216 pf 38 1.353 0.504 1.444 5
0216 pf 39 1.455 0.897 1.709 5
0216 pf 40 1.340 0.932 1.632 5
0216 pf 41 1.248 0.205 1.265 5
0216 pf 42 0.877 0.585 1.055 5
0216 pf 43 1.181 0.564 1.309 5
0216 pf 44 0.231 0.570 0.615 6
0216 pf 45 1.503 -0.446 1.568 4
0216 pf 46 1.393 0.773 1.593 5
0216 pf 47 1.184 0.748 1.400 5
0216 pf 48 1.094 0.297 1.134 5
0216 pf 49 0.791 0.227 0.823 5
0216 pf 50 1.167 0.882 1.463 5
0240 em 00 0.911 0.677 1.135 5
0240 cf 00 0.706 0.381 0.802 5
0240 pf 01 1.023 0.822 1.312 5
0240 pf 02 0.625 0.395 0.739 5
0240 pf 03 0.568 0.812 0.991 6
0240 pf 04 0.564 0.543 0.782 5
0240 pf 05 0.300 0.392 0.494 6
0240 pf 06 0.894 0.764 1.176 5
0240 pf 07 0.419 0.186 0.458 5
0240 pf 08 1.053 1.092 1.518 6
0240 pf 09 0.447 0.446 0.631 5
0240 pf 10 1.353 0.862 1.604 5
0240 pf 11 1.016 1.554 1.857 6
0240 pf 12 0.911 0.511 1.044 5
0240 pf 13 0.743 1.024 1.265 6
0240 pf 14 1.302 0.132 1.309 5
0240 pf 15 1.187 0.649 1.353 5
0240 pf 16 0.908 0.749 1.177 5
0240 pf 17 1.065 0.217 1.087 5
0240 pf 18 0.695 0.601 0.919 5
0240 pf 19 0.702 0.623 0.939 5
0240 pf 20 1.235 0.799 1.471 5
0240 pf 21 0.623 0.285 0.685 5
0240 pf 22 1.295 0.563 1.412 5
0240 pf 23 1.437 0.694 1.596 5
0240 pf 24 0.762 0.815 1.116 6
0240 pf 25 0.904 -0.134 0.914 4
0240 pf 26 1.016 1.106 1.502 6
0240 pf 27 0.486 0.055 0.489 5
0240 pf 28 1.126 1.150 1.610 6
0240 pf 29 0.979 0.434 1.071 5
0240 pf 30 0.571 0.983 1.137 6
0240 pf 31 1.080 0.938 1.430 5
0240 pf 32 1.379 0.494 1.465 5
0240 pf 33 0.546 0.890 1.044 6
0240 pf 34 1.203 0.519 1.310 5
0240 pf 35 1.121 0.803 1.379 5
0240 pf 36 0.780 0.918 1.205 6
0240 pf 37 1.336 1.034 1.690 5
0240 pf 38 1.071 0.755 1.310 5
0240 pf 39 1.147 1.146 1.621 5
0240 pf 40 1.025 1.048 1.466 6
0240 pf 41 1.228 0.593 1.364 5
0240 pf 42 0.176 0.658 0.681 6
0240 pf 43 1.234 0.910 1.533 5
0240 pf 44 -0.102 0.654 0.662 7
